ID,Series,Title,Type,Basic,Expert,Ultimate,Supreme
126,Final Fantasy VIII,Liberi Fatali,BMS,9781076,9816777,0,-
127,Final Fantasy VIII,Balamb GARDEN,FMS,9844828,9702624,0,-
128,Final Fantasy VIII,Blue Fields,FMS,9848592,9890160,0,-
129,Final Fantasy VIII,Don't Be Afraid,BMS,9850900,9654577,0,0
130,Final Fantasy VIII,Find Your Way,FMS,9950355,9878935,0,-
131,Final Fantasy VIII,Force Your Way,BMS,9788770,9521589,0,0
132,Final Fantasy VIII,Shuffle or Boogie,BMS,9913043,9777989,0,0
133,Final Fantasy VIII,Waltz for the Moon,FMS,9270655,9843034,0,-
134,Final Fantasy VIII,The Man with the Machine Gun,BMS,9940217,9469722,0,0
135,Final Fantasy VIII,Fisherman's Horizon,FMS,9931298,9895028,0,-
136,Final Fantasy VIII,Love Grows,FMS,9845395,9860590,0,-
137,Final Fantasy VIII,Ride On,FMS,9900875,9887833,0,-
138,Final Fantasy VIII,The Oath,FMS,9909968,9782101,0,-
139,Final Fantasy VIII,The Castle,FMS,8998688,9771429,0,0
140,Final Fantasy VIII,Premonition,BMS,9861915,9712766,0,0
141,Final Fantasy VIII,Maybe I'm a Lion,BMS,9790393,9796129,0,0
142,Final Fantasy VIII,The Extreme,BMS,9860262,9822892,0,0
143,Final Fantasy VIII,Ending Theme,FMS,9734082,9812010,0,-
144,Final Fantasy IX,Behind the Door,EMS,9471429,9547904,0,-
145,Final Fantasy IX,A Place to Call Home,FMS,9888545,9889113,0,-
146,Final Fantasy IX,Vivi's Theme,FMS,9945205,9891892,0,-
147,Final Fantasy IX,Swords of Fury,BMS,9929504,9833333,0,-
148,Final Fantasy IX,Vamo'alla flamenco,BMS,9929766,9815678,0,0
149,Final Fantasy IX,Battle 1,BMS,9891667,9766506,0,0
150,Final Fantasy IX,Over the Hill,FMS,9936567,9867769,0,-
151,Final Fantasy IX,Festival of the Hunt,BMS,9848684,9517276,0,0
152,Final Fantasy IX,Dark City Treno,FMS,9899123,9889356,0,-
153,Final Fantasy IX,Roses of May,FMS,9845697,9801858,0,-
154,Final Fantasy IX,"Iifa, the Ancient Tree of Life",FMS,9723404,9755869,0,-
155,Final Fantasy IX,Something to Protect,BMS,9870614,9698413,0,-
156,Final Fantasy IX,Aboard the Hilda Garde,FMS,9875332,9905028,0,0
157,Final Fantasy IX,Ipsen's Castle,FMS,9849624,9919771,0,-
158,Final Fantasy IX,Not Alone,FMS,9796491,9925764,0,-
159,Final Fantasy IX,Battle 2,BMS,9539568,9358733,0,-
160,Final Fantasy IX,The Darkness of Eternity,BMS,9865702,9668252,0,-
161,Final Fantasy IX,The Final Battle,BMS,9740816,9890957,0,0
162,Final Fantasy IX,Behind the Door,FMS,9906475,9707260,0,0
163,Final Fantasy X,SUTEKI DA NE (Isn't It Wonderful?),EMS,9151515,9780886,0,-
164,Final Fantasy X,Battle Theme,BMS,9835694,9919614,0,0
165,Final Fantasy X,Spira Unplugged,FMS,9813725,9975983,0,-
166,Final Fantasy X,Blitz Off!,BMS,9786765,9788043,0,-
167,Final Fantasy X,Movement In Green,FMS,9937705,9909910,0,-
168,Final Fantasy X,Mi'ihen Highroad,FMS,9913978,9703777,0,-
169,Final Fantasy X,Thunder Plains,FMS,9974441,9896825,0,0
170,Final Fantasy X,Launch,FMS,9890020,9888514,0,-
171,Final Fantasy X,Assault,BMS,9843478,9949928,0,-
172,Final Fantasy X,Via Purifico,FMS,9885033,9911079,0,-
173,Final Fantasy X,SUTEKI DA NE (Isn't It Wonderful?),FMS,9907186,9869159,0,-
